Type,Frame,TimestampUs,ThreadId,Category,Name,DurationMs,GameThreadMs,RenderPrepareMs,RenderThreadMs,RenderFrameMs,CPUFrameMs,GPUFrameMs,TotalFrameMs,DrawCalls,Triangles,VisibleObjects,Batches
Frame,104,1781696291603114,53912,"Frame","Frame",,4.0775,0.0614,0,3.9269,4.0775,2.13862,4.0775,12,2184,0,0
Frame,105,1781696291606855,53912,"Frame","Frame",,3.6548,0.0587,0,3.5009,3.6548,2.16541,3.6548,12,2184,0,0
Frame,106,1781696291611426,53912,"Frame","Frame",,4.4619,0.0634,0,4.2749,4.4619,2.41142,4.4619,12,2184,0,0
Frame,107,1781696291615735,53912,"Frame","Frame",,4.2277,0.0591,0,4.0705,4.2277,2.70106,4.2277,12,2184,0,0
Frame,108,1781696291619972,53912,"Frame","Frame",,4.1491,0.0508,0,4.0075,4.1491,2.07088,4.1491,12,2184,0,0
Frame,109,1781696291625578,53912,"Frame","Frame",,5.5144,0.0648,0,5.3369,5.5144,2.3793,5.5144,12,2184,0,0
Frame,110,1781696291629188,53912,"Frame","Frame",,3.5268,0.0539,0,3.3848,3.5268,2.1895,3.5268,12,2184,0,0
Frame,111,1781696291633700,53912,"Frame","Frame",,4.431,0.0569,0,4.2843,4.431,2.976,4.431,12,2184,0,0
Frame,112,1781696291650391,53912,"Frame","Frame",,16.6144,0.0461,0,16.4872,16.6144,2.67808,16.6144,12,2184,0,0
Frame,113,1781696291657861,53912,"Frame","Frame",,7.3886,0.0484,0,7.2522,7.3886,4.17069,7.3886,12,2184,0,0
Frame,114,1781696291661668,53912,"Frame","Frame",,3.7254,0.0555,0,3.4602,3.7254,2.09763,3.7254,12,2184,0,0
Frame,115,1781696291665847,53912,"Frame","Frame",,4.1058,0.0385,0,4.0033,4.1058,2.72819,4.1058,12,2184,0,0
Frame,116,1781696291669594,53912,"Frame","Frame",,3.6726,0.0463,0,3.549,3.6726,2.31123,3.6726,12,2184,0,0
Frame,117,1781696291672895,53912,"Frame","Frame",,3.2292,0.0495,0,3.1006,3.2292,2.10115,3.2292,12,2184,0,0
Frame,118,1781696291676697,53912,"Frame","Frame",,3.7292,0.0438,0,3.613,3.7292,2.33632,3.7292,12,2184,0,0
Frame,119,1781696291680507,53912,"Frame","Frame",,3.7274,0.0451,0,3.5987,3.7274,2.16518,3.7274,12,2184,0,0
Frame,120,1781696291684037,53912,"Frame","Frame",,3.4579,0.0708,0,3.2835,3.4579,2.23795,3.4579,12,2184,0,0
Frame,121,1781696291690292,53912,"Frame","Frame",,6.1773,0.0361,0,6.0787,6.1773,3.90598,6.1773,12,2184,0,0
Frame,122,1781696291705353,53912,"Frame","Frame",,14.9794,0.056,0,14.8261,14.9794,2.34704,14.9794,12,2184,0,0
Frame,123,1781696291711401,53912,"Frame","Frame",,5.9666,0.0468,0,5.8377,5.9666,2.32886,5.9666,12,2184,0,0
Frame,124,1781696291717040,53912,"Frame","Frame",,5.5579,0.0512,0,5.4178,5.5579,2.7585,5.5579,12,2184,0,0
Frame,125,1781696291723965,53912,"Frame","Frame",,6.8257,0.0481,0,6.6695,6.8257,3.90541,6.8257,12,2184,0,0
Frame,126,1781696291727996,53912,"Frame","Frame",,3.9109,0.1381,0,3.5547,3.9109,2.49318,3.9109,12,2184,0,0
Frame,127,1781696291733408,53912,"Frame","Frame",,5.3146,0.0397,0,5.1971,5.3146,2.32154,5.3146,12,2184,0,0
Frame,128,1781696291738653,53912,"Frame","Frame",,5.0929,0.154,0,4.7438,5.0929,2.71875,5.0929,12,2184,0,0
Frame,129,1781696291742988,53912,"Frame","Frame",,4.2023,0.1229,0,3.8947,4.2023,2.62128,4.2023,12,2184,0,0
Frame,130,1781696291748203,53912,"Frame","Frame",,5.1193,0.0618,0,4.9576,5.1193,2.31715,5.1193,12,2184,0,0
Frame,131,1781696291752735,53912,"Frame","Frame",,4.43,0.0723,0,4.2392,4.43,2.28589,4.43,12,2184,0,0
Frame,132,1781696291758977,53912,"Frame","Frame",,6.1462,0.0578,0,5.9679,6.1462,3.69424,6.1462,12,2184,0,0
Frame,133,1781696291762631,53912,"Frame","Frame",,3.5629,0.0577,0,3.3969,3.5629,2.1192,3.5629,12,2184,0,0
Frame,134,1781696291766986,53912,"Frame","Frame",,4.2306,0.1015,0,3.9701,4.2306,2.89114,4.2306,12,2184,0,0
Frame,135,1781696291770880,53912,"Frame","Frame",,3.8163,0.0458,0,3.6963,3.8163,2.35814,3.8163,12,2184,0,0
Frame,136,1781696291774659,53912,"Frame","Frame",,3.698,0.0491,0,3.5656,3.698,2.11603,3.698,12,2184,0,0
Frame,137,1781696291778362,53912,"Frame","Frame",,3.6228,0.0595,0,3.4681,3.6228,2.12531,3.6228,12,2184,0,0
Frame,138,1781696291783801,53912,"Frame","Frame",,5.3586,0.0492,0,5.2271,5.3586,2.81357,5.3586,12,2184,0,0
Frame,139,1781696291800089,53912,"Frame","Frame",,16.2065,0.0485,0,16.074,16.2065,2.68134,16.2065,12,2184,0,0
Frame,140,1781696291805230,53912,"Frame","Frame",,5.062,0.0471,0,4.9324,5.062,2.32755,5.062,12,2184,0,0
Frame,141,1781696291811052,53912,"Frame","Frame",,5.7398,0.0471,0,5.612,5.7398,2.43638,5.7398,12,2184,0,0
Frame,142,1781696291816801,53912,"Frame","Frame",,5.6654,0.0532,0,5.5175,5.6654,2.72858,5.6654,12,2184,0,0
Frame,143,1781696291823785,53912,"Frame","Frame",,6.89,0.0486,0,6.7394,6.89,4.00573,6.89,12,2184,0,0
Frame,144,1781696291828168,53912,"Frame","Frame",,4.2952,0.0644,0,4.1197,4.2952,2.45034,4.2952,12,2184,0,0
Frame,145,1781696291832841,53912,"Frame","Frame",,4.5964,0.0442,0,4.4766,4.5964,2.98003,4.5964,12,2184,0,0
Frame,146,1781696291836528,53912,"Frame","Frame",,3.6116,0.0501,0,3.4782,3.6116,2.2944,3.6116,12,2184,0,0
Frame,147,1781696291839835,53912,"Frame","Frame",,3.2383,0.048,0,3.1158,3.2383,2.10637,3.2383,12,2184,0,0
Frame,148,1781696291843786,53912,"Frame","Frame",,3.8791,0.0493,0,3.7549,3.8791,2.49376,3.8791,12,2184,0,0
Frame,149,1781696291847981,53912,"Frame","Frame",,4.1168,0.0486,0,3.9869,4.1168,2.34691,4.1168,12,2184,0,0
Frame,150,1781696291851530,53912,"Frame","Frame",,3.468,0.0569,0,3.3171,3.468,2.10378,3.468,12,2184,0,0
Frame,151,1781696291855188,53912,"Frame","Frame",,3.5756,0.0693,0,3.3654,3.5756,2.21043,3.5756,12,2184,0,0
Frame,152,1781696291862519,53912,"Frame","Frame",,7.2173,0.043,0,7.0964,7.2173,3.91638,7.2173,12,2184,0,0
Frame,153,1781696291877884,53912,"Frame","Frame",,15.2789,0.0957,0,15.029,15.2789,2.12832,15.2789,12,2184,0,0
Frame,154,1781696291883823,53912,"Frame","Frame",,5.8568,0.0509,0,5.7135,5.8568,2.70157,5.8568,12,2184,0,0
Frame,155,1781696291890504,53912,"Frame","Frame",,6.5935,0.0493,0,6.4534,6.5935,4.03555,6.5935,12,2184,0,0
Frame,156,1781696291894186,53912,"Frame","Frame",,3.5974,0.1204,0,3.3117,3.5974,2.25293,3.5974,12,2184,0,0
Frame,157,1781696291898002,53912,"Frame","Frame",,3.7372,0.0453,0,3.6155,3.7372,2.35366,3.7372,12,2184,0,0
Frame,158,1781696291901354,53912,"Frame","Frame",,3.2782,0.046,0,3.1565,3.2782,2.12182,3.2782,12,2184,0,0
Frame,159,1781696291905080,53912,"Frame","Frame",,3.6516,0.0563,0,3.5175,3.6516,2.34102,3.6516,12,2184,0,0
Frame,160,1781696291908946,53912,"Frame","Frame",,3.7879,0.045,0,3.6668,3.7879,2.3656,3.7879,12,2184,0,0
Frame,161,1781696291912778,53912,"Frame","Frame",,3.7533,0.0502,0,3.608,3.7533,2.13776,3.7533,12,2184,0,0
Frame,162,1781696291917081,53912,"Frame","Frame",,4.223,0.0566,0,4.0706,4.223,2.60032,4.223,12,2184,0,0
Frame,163,1781696291923614,53912,"Frame","Frame",,6.4455,0.049,0,6.3094,6.4455,3.88826,6.4455,12,2184,0,0
Frame,164,1781696291938712,53912,"Frame","Frame",,15.0135,0.0556,0,14.8561,15.0135,2.35642,15.0135,12,2184,0,0
Frame,165,1781696291944394,53912,"Frame","Frame",,5.6015,0.0477,0,5.4681,5.6015,2.34419,5.6015,12,2184,0,0
Frame,166,1781696291950486,53912,"Frame","Frame",,6.0072,0.0509,0,5.8657,6.0072,2.70954,6.0072,12,2184,0,0
Frame,167,1781696291957564,53912,"Frame","Frame",,6.9948,0.051,0,6.8474,6.9948,3.96829,6.9948,12,2184,0,0
